canonical_name,category,natural_source,flavour_molecule_count,source_coverage,quality_score,analysis_status,analysis_notes,metadata
persimmon,fruit,diospyros,94,4,0.443,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":25,""kaggle_recipe_count"":5,""world_recipe_count"":0,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
semolina,cereal,,5,4,0.443,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":198,""kaggle_recipe_count"":60,""world_recipe_count"":0,""usda_exact_name_matches"":6},""seed_version"":""v1""}"
agar,additive,algae,93,4,0.442,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":6,""kaggle_recipe_count"":6,""world_recipe_count"":0,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
black olives,unknown,,,2,0.442,pending,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":4,""kaggle_recipe_count"":229,""world_recipe_count"":0,""usda_exact_name_matches"":28},""seed_version"":""v1""}"
crushed red pepper,unknown,,,2,0.442,pending,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":7,""kaggle_recipe_count"":825,""world_recipe_count"":0,""usda_exact_name_matches"":28},""seed_version"":""v1""}"
mace,spice,myristica,21,4,0.442,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":76,""kaggle_recipe_count"":81,""world_recipe_count"":0,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
tomato juice,unknown,,,2,0.442,pending,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":2,""kaggle_recipe_count"":83,""world_recipe_count"":0,""usda_exact_name_matches"":58},""seed_version"":""v1""}"
borage,herb,borago,95,4,0.441,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":2,""kaggle_recipe_count"":2,""world_recipe_count"":0,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
raspberries,unknown,,,2,0.441,pending,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":1,""kaggle_recipe_count"":81,""world_recipe_count"":0,""usda_exact_name_matches"":78},""seed_version"":""v1""}"
sorghum,cereal,sorghum,94,4,0.441,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":14,""kaggle_recipe_count"":2,""world_recipe_count"":0,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
winter squash,fruit,cucurbita,93,4,0.441,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":1,""kaggle_recipe_count"":5,""world_recipe_count"":0,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
conch,fish,strombus,93,4,0.440,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":18,""kaggle_recipe_count"":2,""world_recipe_count"":0,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
crab,seafood,crustacean,38,4,0.440,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":252,""kaggle_recipe_count"":37,""world_recipe_count"":0,""usda_exact_name_matches"":2},""seed_version"":""v1""}"
green onions,unknown,,,3,0.440,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":1,""kaggle_recipe_count"":3078,""world_recipe_count"":2,""usda_exact_name_matches"":5},""seed_version"":""v1""}"
jujube,fruit,ziziphus,93,4,0.440,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":4,""kaggle_recipe_count"":3,""world_recipe_count"":0,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
lime juice,unknown,,,3,0.440,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":6,""kaggle_recipe_count"":1072,""world_recipe_count"":6,""usda_exact_name_matches"":5},""seed_version"":""v1""}"
pizza sauce,unknown,,,2,0.440,pending,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":1,""kaggle_recipe_count"":80,""world_recipe_count"":0,""usda_exact_name_matches"":233},""seed_version"":""v1""}"
ginseng,vegetable root,panax,92,4,0.439,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":4,""kaggle_recipe_count"":3,""world_recipe_count"":0,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
komatsuna,cabbage,brassica rapa,93,4,0.439,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":1,""kaggle_recipe_count"":2,""world_recipe_count"":0,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
butternut,nut,juglans,93,4,0.438,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":3,""kaggle_recipe_count"":1,""world_recipe_count"":0,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
cherry,berry,vaccinium,114,3,0.438,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":0,""world_recipes"":0},""signals"":{""culinary_alias_count"":573,""kaggle_recipe_count"":0,""world_recipe_count"":0,""usda_exact_name_matches"":11},""seed_version"":""v1""}"
cloud ear fungus,fungus,jelly fungus,93,4,0.438,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":1,""kaggle_recipe_count"":1,""world_recipe_count"":0,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
garland chrysanthemum,flower,glebionis,93,4,0.438,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":1,""kaggle_recipe_count"":1,""world_recipe_count"":0,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
longan,plant,dimocarpus,93,4,0.438,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":1,""kaggle_recipe_count"":1,""world_recipe_count"":0,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
salted butter,unknown,,,2,0.438,pending,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":1,""kaggle_recipe_count"":77,""world_recipe_count"":0,""usda_exact_name_matches"":94},""seed_version"":""v1""}"
smoked paprika,unknown,,,2,0.438,pending,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":3,""kaggle_recipe_count"":345,""world_recipe_count"":0,""usda_exact_name_matches"":27},""seed_version"":""v1""}"
condensed milk,dairy,cattle,2,4,0.437,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":3,""kaggle_recipe_count"":74,""world_recipe_count"":0,""usda_exact_name_matches"":5},""seed_version"":""v1""}"
currant,fruit,ribes,37,4,0.437,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":213,""kaggle_recipe_count"":47,""world_recipe_count"":0,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
lemon verbena,herb,aloyisa,92,4,0.437,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":1,""kaggle_recipe_count"":1,""world_recipe_count"":0,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
cauliflower florets,unknown,,,2,0.436,pending,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":1,""kaggle_recipe_count"":75,""world_recipe_count"":0,""usda_exact_name_matches"":277},""seed_version"":""v1""}"
chocolate sprinkles,unknown,,,3,0.436,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":4,""kaggle_recipe_count"":18,""world_recipe_count"":1,""usda_exact_name_matches"":38},""seed_version"":""v1""}"
chopped cilantro,unknown,,,2,0.435,pending,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":13,""kaggle_recipe_count"":796,""world_recipe_count"":0,""usda_exact_name_matches"":26},""seed_version"":""v1""}"
falafel,dish,,2,4,0.435,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":4,""kaggle_recipe_count"":1,""world_recipe_count"":0,""usda_exact_name_matches"":18},""seed_version"":""v1""}"
ranch dressing,unknown,,,2,0.435,pending,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":9,""kaggle_recipe_count"":73,""world_recipe_count"":0,""usda_exact_name_matches"":170},""seed_version"":""v1""}"
chickpea,legume,cicer,103,3,0.434,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":0,""world_recipes"":0},""signals"":{""culinary_alias_count"":1327,""kaggle_recipe_count"":0,""world_recipe_count"":0,""usda_exact_name_matches"":3},""seed_version"":""v1""}"
fresh spinach,unknown,,,2,0.434,pending,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":1,""kaggle_recipe_count"":230,""world_recipe_count"":0,""usda_exact_name_matches"":26},""seed_version"":""v1""}"
kefir,dairy,cattle,3,4,0.434,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":3,""kaggle_recipe_count"":5,""world_recipe_count"":0,""usda_exact_name_matches"":17},""seed_version"":""v1""}"
macaroni,plant derivative,drurum,3,4,0.434,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":177,""kaggle_recipe_count"":36,""world_recipe_count"":0,""usda_exact_name_matches"":9},""seed_version"":""v1""}"
peaches,unknown,,,2,0.434,pending,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":1,""kaggle_recipe_count"":263,""world_recipe_count"":0,""usda_exact_name_matches"":26},""seed_version"":""v1""}"
prepared horseradish,unknown,,,2,0.434,pending,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":2,""kaggle_recipe_count"":72,""world_recipe_count"":0,""usda_exact_name_matches"":68},""seed_version"":""v1""}"
vodka,beverage alcoholic,cereal grains,4,4,0.434,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":233,""kaggle_recipe_count"":74,""world_recipe_count"":0,""usda_exact_name_matches"":1},""seed_version"":""v1""}"
chia,herb,salvia,94,3,0.433,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":0,""world_recipes"":0},""signals"":{""culinary_alias_count"":6,""kaggle_recipe_count"":0,""world_recipe_count"":0,""usda_exact_name_matches"":21},""seed_version"":""v1""}"
raisin bread,bakery,poacceae,2,4,0.433,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":2,""kaggle_recipe_count"":4,""world_recipe_count"":0,""usda_exact_name_matches"":17},""seed_version"":""v1""}"
raspberry,berry,rubus,187,3,0.433,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":0,""world_recipes"":0},""signals"":{""culinary_alias_count"":622,""kaggle_recipe_count"":0,""world_recipe_count"":0,""usda_exact_name_matches"":8},""seed_version"":""v1""}"
coarse sea salt,unknown,,,2,0.432,pending,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":16,""kaggle_recipe_count"":68,""world_recipe_count"":0,""usda_exact_name_matches"":62},""seed_version"":""v1""}"
chorizo,unknown,,,2,0.431,pending,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":0,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":0,""kaggle_recipe_count"":68,""world_recipe_count"":3,""usda_exact_name_matches"":97},""seed_version"":""v1""}"
coarse kosher salt,unknown,,,2,0.431,pending,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":62,""kaggle_recipe_count"":64,""world_recipe_count"":0,""usda_exact_name_matches"":53},""seed_version"":""v1""}"
curry leaf,herb,murraya,31,4,0.430,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":827,""kaggle_recipe_count"":4,""world_recipe_count"":0,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
shredded cheddar cheese,unknown,,,2,0.430,pending,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":1,""kaggle_recipe_count"":769,""world_recipe_count"":0,""usda_exact_name_matches"":25},""seed_version"":""v1""}"
shredded cheese,unknown,,,2,0.430,pending,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":2,""kaggle_recipe_count"":157,""world_recipe_count"":0,""usda_exact_name_matches"":33},""seed_version"":""v1""}"
chewing gum,dish,,3,3,0.429,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":0,""world_recipes"":0},""signals"":{""culinary_alias_count"":1,""kaggle_recipe_count"":0,""world_recipe_count"":0,""usda_exact_name_matches"":39},""seed_version"":""v1""}"
focaccia,bakery,poacceae,4,4,0.429,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":39,""kaggle_recipe_count"":10,""world_recipe_count"":0,""usda_exact_name_matches"":14},""seed_version"":""v1""}"
french toast,bakery,poacceae,4,4,0.429,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":1,""kaggle_recipe_count"":2,""world_recipe_count"":0,""usda_exact_name_matches"":16},""seed_version"":""v1""}"
poultry seasoning,unknown,,,2,0.429,pending,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":123,""kaggle_recipe_count"":62,""world_recipe_count"":0,""usda_exact_name_matches"":49},""seed_version"":""v1""}"
pistachios,unknown,,,2,0.428,pending,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":1,""kaggle_recipe_count"":64,""world_recipe_count"":0,""usda_exact_name_matches"":112},""seed_version"":""v1""}"
adobo,dish,,2,4,0.427,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":116,""kaggle_recipe_count"":15,""world_recipe_count"":0,""usda_exact_name_matches"":12},""seed_version"":""v1""}"
apple juice,unknown,,,2,0.427,pending,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":171,""kaggle_recipe_count"":51,""world_recipe_count"":0,""usda_exact_name_matches"":114},""seed_version"":""v1""}"
asparagus spears,unknown,,,2,0.427,pending,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":1,""kaggle_recipe_count"":62,""world_recipe_count"":0,""usda_exact_name_matches"":120},""seed_version"":""v1""}"
dressing,unknown,,,2,0.427,pending,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":5,""kaggle_recipe_count"":63,""world_recipe_count"":0,""usda_exact_name_matches"":308},""seed_version"":""v1""}"
taco sauce,unknown,,,2,0.427,pending,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":3,""kaggle_recipe_count"":63,""world_recipe_count"":0,""usda_exact_name_matches"":59},""seed_version"":""v1""}"
apple brandy,beverage alcoholic,apple,74,4,0.425,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":1,""kaggle_recipe_count"":4,""world_recipe_count"":0,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
yellowfin tuna,fish,tuna,3,4,0.425,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":1,""kaggle_recipe_count"":3,""world_recipe_count"":0,""usda_exact_name_matches"":15},""seed_version"":""v1""}"
chimichanga,dish,,2,3,0.424,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":0,""world_recipes"":0},""signals"":{""culinary_alias_count"":1,""kaggle_recipe_count"":0,""world_recipe_count"":0,""usda_exact_name_matches"":38},""seed_version"":""v1""}"
lobster,seafood,crustacean,6,4,0.424,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":342,""kaggle_recipe_count"":50,""world_recipe_count"":0,""usda_exact_name_matches"":1},""seed_version"":""v1""}"
meatloaf,dish,,4,4,0.424,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":19,""kaggle_recipe_count"":5,""world_recipe_count"":0,""usda_exact_name_matches"":14},""seed_version"":""v1""}"
saffron threads,unknown,,,3,0.424,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":1,""kaggle_recipe_count"":277,""world_recipe_count"":1,""usda_exact_name_matches"":1},""seed_version"":""v1""}"
shredded lettuce,unknown,,,2,0.424,pending,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":15,""kaggle_recipe_count"":175,""world_recipe_count"":0,""usda_exact_name_matches"":28},""seed_version"":""v1""}"
vanilla extract,unknown,,,3,0.424,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":2,""kaggle_recipe_count"":1298,""world_recipe_count"":4,""usda_exact_name_matches"":1},""seed_version"":""v1""}"
tahini,unknown,,,3,0.423,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":125,""kaggle_recipe_count"":62,""world_recipe_count"":1,""usda_exact_name_matches"":25},""seed_version"":""v1""}"
chive,vegetable,allium,126,3,0.422,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":0,""world_recipes"":0},""signals"":{""culinary_alias_count"":1050,""kaggle_recipe_count"":0,""world_recipe_count"":0,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
hamburger buns,unknown,,,2,0.421,pending,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":2,""kaggle_recipe_count"":54,""world_recipe_count"":0,""usda_exact_name_matches"":345},""seed_version"":""v1""}"
red pepper flakes,unknown,,,3,0.421,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":10,""kaggle_recipe_count"":669,""world_recipe_count"":2,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
bonito,fish,skipjack tuna,60,4,0.420,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":1,""food_info"":1,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":0},""signals"":{""culinary_alias_count"":43,""kaggle_recipe_count"":10,""world_recipe_count"":0,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
cooked rice,unknown,,,3,0.420,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":5,""kaggle_recipe_count"":387,""world_recipe_count"":3,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
dry white wine,unknown,,,3,0.420,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":2,""kaggle_recipe_count"":1218,""world_recipe_count"":2,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
egg yolks,unknown,,,3,0.420,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":1,""kaggle_recipe_count"":542,""world_recipe_count"":1,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
fresh basil,unknown,,,3,0.420,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":4,""kaggle_recipe_count"":1137,""world_recipe_count"":1,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
fresh dill,unknown,,,3,0.420,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":2,""kaggle_recipe_count"":243,""world_recipe_count"":1,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
hot water,unknown,,,3,0.420,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":6,""kaggle_recipe_count"":356,""world_recipe_count"":1,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
onions,unknown,,,3,0.420,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":3,""kaggle_recipe_count"":7972,""world_recipe_count"":3,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
rice wine,unknown,,,3,0.420,enriched,auto-seeded from unified ingredient index,"{""sources"":{""flavourdb"":0,""food_info"":0,""culinarydb"":1,""kaggle_train"":1,""world_recipes"":1},""signals"":{""culinary_alias_count"":1,""kaggle_recipe_count"":221,""world_recipe_count"":1,""usda_exact_name_matches"":0},""seed_version"":""v1""}"
